der Aktivist,activist
die Angelegenheit,issue
beeinflussen,influence
der Beruefworter,advocate
begeistern ,enthuse
der Beitrag,contribution
einen Beitrag leisten,make a contribution
beitragen,contribute
belanglos,trivial
sich beschaeftigen mit,be interesteed in
sich beteiligen an,participate
sich bezeichnen als,describe
diskutieren,discuss
durchsetzen,push through
einbeziehen,include
der Einspruch,objection
das Engagement,engagement
engagiert,engage
gemeinsam haben,have in common
glaubwuerdig,believable
der Gleichgesinnte,like-minded person
halten,think of
herabsetzen,lower
der Heranwachsende,adolescent
sich informieren ueber,inform oneself about
minderjaehrig,minor
nachvollziehen,comprehend
die Null-Block Generation,disaffected youth
der Rat,council
rechtfertigen,justify
eine Rede halten,give a speech
relevant,relevent
schaden,damage
schimpfen ueber,moan about
skeptisch,sceptical
taetig,active
das Thema,theme/topic
etw. Jdm. Ueberlassen,leave it to so
das Vertrauen,trust
vertreten,represent
verworren,confused
volljaehrig,of age
jdm. Etw. Vorwerfen,accuse
der Vorwurf,accusation
werben,compaign for
zustaendig,responsible