abhängig,dependent
abschaffen,abolish
arm,poor
die Armutsfalle,poverty trap
die Armutsgrenze,poverty line
ausbilden,train
die Ausgestoßenen,society's rejects
ausgrenzen,exclude
der Behinderte ,disabled person
benachteiligt,disadvantaged
die Beschäftigungschancen,employment opportunities
die Bildungspolitik,education policies
das Bildungswesen,education system
die Chancengleichheit,equality of opportunity
die Einheit in Europa,Europe in unity
das Entwicklungsland,developing country
erneuerbare Ressourcen,renewable resources
die Gerechtigkeit,justice
die psychische Gesundheit,mental health
das Gesundheitswesen,health care
die Gleichberechtigung,equality
die Investition in,investment in
der Jugendschutz,protection of young people
der Klimawandel,climate change
die Konsumgesellschaft,consumer society
der Leistungsdruck,pressure to succeed
die Menschenrechte,human rights
nachhaltig,sustainable
die Obdachlosigkeit,homelessness
die politische Korrektheit,political correctness
der Populismus,populism
die Pressefreiheit,freedom of the press
die Ressourcen,resources
die soziale Gerechtigkeit,social justice
die Sozialleistungen,social wellfare
die Sozialreform,social reform
die Besteuerung von Spitzenverdienern,taxation of the top earners
die Steuerhinterziehung,tax evasion
die Steuerumgehung,tax avoidance
der Terrorismus,terrorism
der Umweltschutz,environmental protection
die Umweltverschmutzung,environmental pollution
der Wohlstand,prosperity
der Zivildienst,community service